GPAX,GPA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
2,3.45,0.69,1,0.833333333,0.810810811,0.519230769,0.789473684,0.923913043,0,0.666666667,0.88,0.78,0.541666667,0.88,0.84,0.84,0.944444444,0.833333333,0.888888889,1,1,0.833333333,2,2,1,88,44,80,Civil I,9,A-
3,3.01,0.791666667,1,0.722222222,0.567567568,0.75,0.552631579,0.815217391,1,1,0.94,0.78,0.375,0.82,0.96,0.8,0.833333333,0.944444444,0.722222222,0.888888889,0.777777778,0.777777778,3,3,1,94,47,75,Civil I,8,B+
1,3.82,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.98,0.88,0.541666667,0.86,0.78,0.82,0.944444444,1,0.944444444,0.944444444,1,0.944444444,1,1,1,98,49,85,Civil I,10,A
3,3.26,0.833333333,0,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,0.333333333,1,0.8,0.82,0.916666667,0.72,0.72,0.64,1,1,0.888888889,0.722222222,0.611111111,0.944444444,3,3,1,80,40,75,Civil I,8,B+
2,3.48,0.861111111,0,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,0.333333333,1,1,0.82,0.916666667,0.76,0.9,0.84,0.944444444,0.944444444,0.833333333,1,0.944444444,0.777777778,2,2,1,100,50,80,Civil I,9,A-
5,2.48,0.888888889,1,0.722222222,0.567567568,0.634615385,0.394736842,0.869565217,1,1,0.84,0.72,0.75,0.72,0.92,0.68,0.722222222,0.833333333,0.666666667,0.777777778,0.722222222,0.722222222,5,5,1,84,42,65,Civil I,6,B-
5,2.53,0.861111111,0,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,0,1,1,0.82,0.916666667,0.76,0.9,0.84,0.666666667,0.777777778,0.777777778,0.722222222,0.777777778,0.777777778,5,5,1,72,36,65,Civil I,6,B-
2,3.36,0.555555556,1,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.88,0.88,0.291666667,0.92,0.78,0.64,0.888888889,1,0.833333333,0.833333333,0.777777778,0.944444444,2,2,1,88,44,80,Civil I,9,A-
2,3.38,0.583333333,1,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.9,0.88,0.583333333,0.84,0.84,0.94,0.944444444,1,0.888888889,0.722222222,0.944444444,0.777777778,2,2,1,90,45,80,Civil I,9,A-
2,3.59,0.416666667,1,0.583333333,0.027027027,0.442307692,0.157894737,0,0.333333333,0.666666667,0.92,0.9,0.583333333,0.9,0.78,0.94,1,1,0.777777778,0.722222222,0.944444444,1,2,2,1,92,46,80,Civil I,9,A-
1,3.78,0.294444444,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.96,0.88,0.625,0.92,0.9,0.94,1,1,0.888888889,0.888888889,0.944444444,1,1,1,1,96,48,85,Civil I,10,A
2,3.61,0.322222222,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.82,0.88,0.583333333,1,0.88,0.94,0.944444444,1,0.888888889,0.777777778,0.944444444,0.944444444,2,2,1,82,41,80,Civil I,9,A-
5,2.58,0.35,0,0.5,0.486486486,0.365384615,0.447368421,0,0.333333333,0,0.78,0.76,0.708333333,0.7,0.88,0.74,0.666666667,0.944444444,0.722222222,0.722222222,0.722222222,0.722222222,5,5,1,78,39,65,Civil I,6,B-
5,2.6,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.72,0.8,0.5,0.8,0.82,0.78,0.666666667,0.777777778,0.888888889,0.666666667,0.722222222,0.888888889,5,5,1,72,36,65,Civil I,6,B-
3,3.04,0.75,1,0.805555556,0.675675676,0.480769231,0.657894737,0,0.333333333,0.666666667,0.84,0.82,0.583333333,0.72,0.9,0.74,0.722222222,0.944444444,0.833333333,0.833333333,0.777777778,0.888888889,3,3,1,84,42,75,Civil I,8,B+
2,3.39,0.604166667,0,0.75,0.594594595,0.769230769,0.736842105,0.782608696,0,0.333333333,1,0.86,0.916666667,0.76,0.92,0.78,0.944444444,0.944444444,0.777777778,0.777777778,0.888888889,0.944444444,2,2,1,100,50,80,Civil I,9,A-
3,3.23,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.78,0.84,0.833333333,0.72,0.82,0.64,0.888888889,1,1,0.833333333,0.666666667,0.833333333,3,3,1,78,39,75,Civil I,8,B+
3,3.16,0.8125,1,0.416666667,0.054054054,0.673076923,0.184210526,0.793478261,1,1,0.76,0.84,0.75,0.76,0.84,0.82,0.722222222,1,1,0.888888889,0.777777778,0.777777778,3,3,1,76,38,75,Civil I,8,B+
3,3.19,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.92,0.84,0.75,0.8,0.9,0.78,0.833333333,0.944444444,0.944444444,0.833333333,0.833333333,0.777777778,3,3,1,92,46,75,Civil I,8,B+
1,3.91,0.583333333,0,0.777777778,0.135135135,0.769230769,0.184210526,0.815217391,0.333333333,0.333333333,0.9,0.82,0.666666667,0.9,0.92,0.88,0.944444444,1,1,0.944444444,1,1,1,1,1,90,45,85,Civil I,10,A
3,3.22,0.111111111,0,0.444444444,0.27027027,0.576923077,0.184210526,0.630434783,0,0.666666667,0.92,0.86,0.833333333,0.82,0.92,0.78,0.722222222,0.944444444,0.722222222,0.944444444,0.888888889,0.944444444,3,3,1,92,46,75,Civil I,8,B+
2,3.58,0.972222222,1,0.944444444,0.810810811,0.826923077,0.657894737,0.869565217,0.666666667,1,0.84,0.82,0.541666667,0.82,0.9,0.82,0.833333333,0.944444444,1,0.833333333,0.944444444,1,2,2,1,84,42,80,Civil I,9,A-
3,3.01,0.822222222,1,0.75,0.540540541,0.557692308,0.552631579,0.793478261,0.333333333,1,0.96,0.9,0.833333333,0.8,0.86,0.84,0.888888889,0.833333333,0.722222222,0.888888889,0.833333333,0.833333333,3,3,1,96,48,75,Civil I,8,B+
2,3.51,0.638888889,1,0.833333333,0.837837838,0.711538462,0.447368421,0.804347826,0.666666667,0.333333333,0.94,0.96,0.375,0.82,0.9,0.76,0.888888889,1,1,0.888888889,0.777777778,0.944444444,2,2,1,94,47,80,Civil I,9,A-
0,0,0.361111111,0,0.333333333,0.27027027,0.480769231,0.131578947,0.608695652,0.333333333,0.666666667,0.5,0.72,0.791666667,0.7,0.9,0.76,0,0,0,0,0,0,0,0,0,50,25,0,Civil I,0,F
0,0,0.6,1,0.611111111,0.27027027,0.480769231,0.526315789,0.836956522,0.333333333,0.666666667,0.88,0.84,0.75,0.8,0.92,0.8,0.611111111,0.722222222,0,0.777777778,0.777777778,0.722222222,0,0,0,88,44,0,Civil I,0,F
0,0,0.683333333,1,0.388888889,0.540540541,0.461538462,0.5,0.543478261,0,0.333333333,0.76,0.78,0.583333333,0.86,0.98,0.82,0.777777778,0.833333333,0,1,0.833333333,0.888888889,0,0,0,76,38,0,Civil I,0,F
